STT;MSSV;Họ Tên;Giới Tính;CMND;Lớp MH;Mã MH
1;1742001;Lê Văn Hai;Nam;556191404;17HCB;CTT013
2;1742002;Nguyễn Thị An;Nữ;481825265;17HCB;CTT013
3;1742003;Đào Anh Lộc;Nam;912749876;17HCB;CTT013
4;1742004;Bùi Văn Vũ;Nam;599905120;17HCB;CTT013
5;1742005;Huỳnh Anh;Nữ;919762912;17HCB;CTT013
6;1742006;Vũ Huỳnh Như;Nữ;425543709;17HCB;CTT013
7;1742007;Vũ Hùng Cường;Nam;338547181;17HCB;CTT013
8;1742008;Trần Thị Khánh;Nam;677455903;17HCB;CTT013
9;1742009;Huỳnh Văn Thọ;Nam;664071326;17HCB;CTT013
10;1742010;Văn Mai Thư;Nữ;171845271;17HCB;CTT013
11;1742011;Bùi Thị Trúc Linh;Nữ;252664863;17HCB;CTT013
12;1742012;Dương Văn An;Nam;293121159;17HCB;CTT013
13;1742013;Nguyễn Tấn Tài;Nam;633764651;17HCB;CTT013
14;1742014;Nguyễn Thị Ánh;Nữ;422966125;17HCB;CTT013
15;1742015;Nguyễn Thị Ánh Thư;Nữ;924182503;17HCB;CTT013
