STT;MSSV;Họ Tên;Giới Tính;CMND;Lớp MH;Mã MH
1;1742001;Lê Văn Hai;Nam;556191404;17HCB;CTT011
2;1742002;Nguyễn Thị An;Nữ;481825265;17HCB;CTT011
3;1742003;Đào Anh Lộc;Nam;912749876;17HCB;CTT011
4;1742004;Bùi Văn Vũ;Nam;599905120;17HCB;CTT011
5;1742005;Huỳnh Anh;Nữ;919762912;17HCB;CTT011
6;1742006;Vũ Huỳnh Như;Nữ;425543709;17HCB;CTT011
7;1742007;Vũ Hùng Cường;Nam;338547181;17HCB;CTT011
8;1742008;Trần Thị Khánh;Nam;677455903;17HCB;CTT011
9;1742009;Huỳnh Văn Thọ;Nam;664071326;17HCB;CTT011
10;1742010;Văn Mai Thư;Nữ;171845271;17HCB;CTT011
11;1742011;Bùi Thị Trúc Linh;Nữ;252664863;17HCB;CTT011
12;1742012;Dương Văn An;Nam;293121159;17HCB;CTT011
13;1742013;Nguyễn Tấn Tài;Nam;633764651;17HCB;CTT011
14;1742014;Nguyễn Thị Ánh;Nữ;422966125;17HCB;CTT011
15;1742015;Nguyễn Thị Ánh Thư;Nữ;924182503;17HCB;CTT011
16;18424004;Trần Thị Hương;Nữ;448730798;17HCB;CTT011
17;18424005;Trần Quốc Hội;Nam;322768992;17HCB;CTT011
18;18424011;Phạm Đức Lợi;Nam;191374970;17HCB;CTT011
19;18424012;Nguyễn Thị Thúy Ngân;Nữ;308869611;17HCB;CTT011
20;18424013;Đặng Thị Trâm;Nữ;575715793;17HCB;CTT011
