STT;MSSV;Họ Tên;Điểm GK;Điểm CK;Điểm Khác;Điểm Tổng
1;1742001;Lê Văn Hai;4.0;7.0;7.0;6.0
2;1742002;Nguyễn Thị An;6.0;9.0;6.0;7.0
3;1742003;Đào Anh Lộc;5.0;2.0;5.0;4.0
4;1742004;Bùi Văn Vũ;9.0;1.0;8.0;6.0
5;1742005;Huỳnh Anh;9.0;7.0;8.0;8.0
6;1742006;Vũ Huỳnh Như;3.0;4.0;5.0;4.0
7;1742007;Vũ Hùng Cường;3.0;4.0;5.0;4.0
8;1742008;Trần Thị Khánh;3.8;4.0;5.0;4.0
9;1742009;Huỳnh Văn Thọ;6.0;6.0;6.0;6.0
10;1742010;Văn Mai Thư;5.5;4.5;9.0;6.5
11;1742011;Bùi Thị Trúc Linh;2.0;5.0;6.0;4.5
12;1742012;Dương Văn An;5.0;5.0;5.0;5.0
13;1742013;Nguyễn Tấn Tài;8.0;6.0;7.0;7.0
14;1742014;Nguyễn Thị Ánh;5.0;4.0;5.5;5.0
15;1742015;Nguyễn Thị Ánh Thư;1.0;1.0;1.0;1.0
16;18424004;Trần Thị Hương;7.0;7.5;8.0;7.5
17;18424005;Trần Quốc Hội;4.0;6.0;5.0;5.0
18;18424011;Phạm Đức Lợi;7.0;5.0;6.0;6.0
19;18424012;Nguyễn Thị Thúy Ngân;8.0;7.0;9.0;8.0
20;18424013;Đặng Thị Trâm;9.0;8.0;8.0;8.5
