STT;MSSV;Họ Tên;Điểm GK;Điểm CK;Điểm Khác;Điểm Tổng
1;18424001;Lâm Bảo Trường;8.0;6.0;7.0;7.0
2;18424002;Trần Nhật Phi;5.0;4.0;5.5;5.0
3;18424003;Mạc Thanh Tâm;4.0;7.0;7.0;6.0
4;18424004;Trần Thị Hương;6.0;9.0;6.0;7.0
5;18424005;Trần Quốc Hội;5.0;2.0;5.0;4.0
6;18424006;Nguyễn Hà Nguyên;3.0;4.0;5.0;4.0
7;18424007;Võ Lê Minh Trí;3.8;4.0;5.0;4.0
8;18424008;Trần Thị Hồng Loan;9.0;7.0;8.0;8.0
9;18424009;Lâm Khả Trân;3.0;4.0;5.0;4.0
10;18424010;Nguyễn Quyết Đạt;3.0;4.0;5.0;4.0
11;18424011;Phạm Đức Lợi;3.8;4.0;5.0;4.0
12;18424012;Nguyễn Thị Thúy Ngân;6.0;6.0;6.0;6.0
13;18424013;Đặng Thị Trâm;5.5;4.5;9.0;6.5
14;18424014;Đặng Vũ Lan Phương;2.0;5.0;6.0;4.5
15;18424015;Trần Đại Vũ;2.0;5.0;6.0;4.5
16;1742010;Văn Mai Thư;5.0;5.0;5.0;5.0
17;1742012;Dương Văn An;3.0;4.0;5.0;4.0
