STT;MSSV;Họ Tên;Điểm GK;Điểm CK;Điểm Khác;Điểm Tổng
1;1742001;Lê Văn Hai;9.0;7.0;8.0;8.0
2;1742002;Nguyễn Thị An;3.0;4.0;5.0;4.0
3;1742003;Đào Anh Lộc;3.0;4.0;5.0;4.0
4;1742004;Bùi Văn Vũ;3.8;4.0;5.0;4.0
5;1742005;Huỳnh Anh;6.0;6.0;6.0;6.0
6;1742006;Vũ Huỳnh Như;5.5;4.5;9.0;6.5
7;1742007;Vũ Hùng Cường;2.0;5.0;6.0;4.5
8;1742008;Trần Thị Khánh;2.0;5.0;6.0;4.5
9;1742009;Huỳnh Văn Thọ;5.0;5.0;5.0;5.0
10;1742010;Văn Mai Thư;8.0;6.0;7.0;7.0
11;1742011;Bùi Thị Trúc Linh;5.0;4.0;5.5;5.0
12;1742012;Dương Văn An;1.0;1.0;1.0;1.0
13;1742013;Nguyễn Tấn Tài;4.0;7.0;7.0;6.0
14;1742014;Nguyễn Thị Ánh;6.0;9.0;6.0;7.0
15;1742015;Nguyễn Thị Ánh Thư;5.0;2.0;5.0;4.0
16;18424003;Mạc Thanh Tâm;9.0;1.0;8.0;6.0
17;18424011;Phạm Đức Lợi;3.8;4.0;5.0;4.0
